months,b12
2004-01,31
2004-02,34
2004-03,29
2004-04,34
2004-05,31
2004-06,29
2004-07,32
2004-08,31
2004-09,34
2004-10,30
2004-11,33
2004-12,31
2005-01,30
2005-02,34
2005-03,36
2005-04,29
2005-05,36
2005-06,31
2005-07,35
2005-08,35
2005-09,37
2005-10,33
2005-11,36
2005-12,29
2006-01,30
2006-02,35
2006-03,35
2006-04,41
2006-05,30
2006-06,29
2006-07,33
2006-08,34
2006-09,38
2006-10,39
2006-11,35
2006-12,31
2007-01,35
2007-02,38
2007-03,35
2007-04,31
2007-05,39
2007-06,38
2007-07,36
2007-08,38
2007-09,41
2007-10,40
2007-11,40
2007-12,32
2008-01,40
2008-02,38
2008-03,40
2008-04,40
2008-05,37
2008-06,41
2008-07,37
2008-08,39
2008-09,42
2008-10,44
2008-11,42
2008-12,32
2009-01,40
2009-02,44
2009-03,46
2009-04,45
2009-05,45
2009-06,47
2009-07,45
2009-08,46
2009-09,45
2009-10,49
2009-11,46
2009-12,39
2010-01,41
2010-02,46
2010-03,48
2010-04,47
2010-05,46
2010-06,47
2010-07,44
2010-08,45
2010-09,49
2010-10,47
2010-11,48
2010-12,38
2011-01,48
2011-02,48
2011-03,50
2011-04,45
2011-05,46
2011-06,47
2011-07,46
2011-08,45
2011-09,49
2011-10,49
2011-11,49
2011-12,43
2012-01,56
2012-02,56
2012-03,57
2012-04,55
2012-05,54
2012-06,51
2012-07,52
2012-08,56
2012-09,56
2012-10,55
2012-11,50
2012-12,44
2013-01,56
2013-02,56
2013-03,57
2013-04,55
2013-05,57
2013-06,53
2013-07,53
2013-08,56
2013-09,54
2013-10,54
2013-11,55
2013-12,50
2014-01,56
2014-02,56
2014-03,58
2014-04,57
2014-05,58
2014-06,55
2014-07,55
2014-08,57
2014-09,57
2014-10,58
2014-11,58
2014-12,50
2015-01,58
2015-02,62
2015-03,65
2015-04,63
2015-05,63
2015-06,63
2015-07,64
2015-08,64
2015-09,66
2015-10,67
2015-11,63
2015-12,63
2016-01,63
2016-02,67
2016-03,69
2016-04,70
2016-05,68
2016-06,69
2016-07,68
2016-08,67
2016-09,72
2016-10,70
2016-11,68
2016-12,62
2017-01,69
2017-02,72
2017-03,78
2017-04,75
2017-05,76
2017-06,73
2017-07,77
2017-08,79
2017-09,80
2017-10,78
2017-11,77
2017-12,68
2018-01,80
2018-02,80
2018-03,85
2018-04,81
2018-05,82
2018-06,79
2018-07,77
2018-08,81
2018-09,83
2018-10,84
2018-11,82
2018-12,74
2019-01,83
2019-02,87
2019-03,92
2019-04,87
2019-05,88
2019-06,88
2019-07,85
2019-08,88
2019-09,93
2019-10,93
2019-11,96
2019-12,87
2020-01,100
2020-02,98
2020-03,78
2020-04,72
2020-05,80
2020-06,89
2020-07,91
2020-08,90
2020-09,92
2020-10,91
2020-11,87
2020-12,83
