year,population_aus,ppulation_canada,population_china,population_us
2015,23932499,36026668,1406847868,320878312
2016,24262710,36382942,1414049353,323015992
2017,24584619,36732091,1421021794,325084758
2018,24898153,37074558,1427647789,327096263
2019,25203200,37411038,1433783692,329064917
2020,25499881,37742157,1439323774,331002647
2021,25788217,38067913,1444216102,332915074
2022,26068793,38388416,1448471404,334805268
2023,26343073,38704479,1452127674,336679231
2024,26612912,39017093,1455254862,338542562
2025,26879753,39326964,1457908248,340399604
2026,27144224,39634342,1460092251,342251975
2027,27406327,39939039,1461797638,344100699
2028,27666064,40240809,1463052846,345947847
2029,27923172,40539186,1463891336,347795041
2030,28177480,40833733,1464340150,349641876
2031,28429245,41124507,1464417502,351490178
2032,28678759,41411400,1464130422,353335452
2033,28925692,41693455,1463480846,355162920
2034,29169600,41969503,1462465124,356952972
2035,29410247,42238708,1461083030,358690997
2036,29647564,42500814,1459341172,360371860
2037,29881870,42756083,1457252173,361997620
2038,30113684,43004972,1454828444,363569997
2039,30343710,43248162,1452084266,365093536
2040,30572490,43486273,1449031420,366572150
2041,30800208,43719526,1445680248,368006425
2042,31026902,43948081,1442035132,369396555
2043,31252712,44172494,1438094712,370746305
2044,31477766,44393406,1433854120,372060394
2045,31702144,44611362,1429312245,373343357
2046,31925961,44826844,1424476521,374598068
2047,32149253,45040171,1419358625,375827634
2048,32371843,45251593,1413967251,377037244
2049,32593518,45461265,1408312310,378232679
2050,32814106,45669453,1402405167,379419097
2051,33033574,45876434,1396257711,380599429
2052,33251915,46082717,1389884267,381776450
2053,33469046,46288984,1383302617,382954890
2054,33684883,46496049,1376532628,384139743
2055,33899312,46704574,1369594143,385334853
2056,34112358,46914808,1362501952,386542304
2057,34323980,47126934,1355273264,387762558
2058,34534175,47341451,1347933557,388995483
2059,34742896,47558857,1340511099,390240012
2060,34950161,47779462,1333030632,391494892
2061,35155971,48003429,1325507532,392759641
2062,35360354,48230567,1317954387,394033201
2063,35563479,48460342,1310388652,395312810
2064,35765568,48691992,1302827463,396594908
2065,35966779,48924855,1295284575,397876094
2066,36167176,49158728,1287771917,399154724
2067,36366773,49393427,1280295274,400428623
2068,36565596,49628332,1272853509,401693252
2069,36763657,49862717,1265441087,402943270
2070,36960955,50096008,1258054223,404174404
2071,37157588,50327916,1250697624,405384572
2072,37353586,50558360,1243376129,406572839
2073,37548924,50787254,1236086056,407737656
2074,37743553,51014614,1228821658,408877807
2075,37937450,51240458,1221580153,409992638
2076,38130708,51464782,1214363695,411081501
2077,38323431,51687574,1207178720,412144643
2078,38515747,51908976,1200032299,413183541
2079,38707797,52129142,1192933527,414200421
2080,38899744,52348310,1185891297,415197398
2081,39091643,52566635,1178909492,416175703
2082,39283641,52784331,1171994339,417136527
2083,39476075,53001640,1165160146,418082082
2084,39669373,53218877,1158423988,419014900
2085,39863841,53436323,1151799204,419937438
2086,40059567,53654197,1145288558,420851140
2087,40256516,53872760,1138892698,421757890
2088,40454725,54092686,1132619326,422660912
2089,40654190,54314750,1126476394,423563934
2090,40854879,54539540,1120466928,424469922
2091,41056665,54767374,1114587314,425380717
2092,41259366,54998362,1108827893,426297192
2093,41462744,55232423,1103174437,427219554
2094,41666533,55469435,1097609742,428147711
2095,41870415,55709296,1092115201,429081664
2096,42074008,55951978,1086671336,430021580
2097,42276912,56197541,1081258072,430967912
2098,42478662,56446106,1075854855,431921382
2099,42678801,56697908,1070440551,432882963
2100,42876774,56953224,1064993456,433853891
