country,meat_kg_pc,CO2_tonnes_pc,population
Afghanistan,8.59,0.3124,37171922
Albania,47.51,1.5757,2866376
Algeria,18.06,3.5346,42228415
Angola,23.49,0.6754,30809787
Antigua and Barbuda,72.04,4.3952,96282
Argentina,109.38,3.4733,44494502
Armenia,45.64,1.9878,2951741
Australia,121.6,15.3684,24982688
Austria,87.22,6.7324,8840521
Azerbaijan,34.08,3.7203,9939771
Bahamas,67.04,5.9446,385635
Bangladesh,4.04,0.5637,161376713
Barbados,71.37,3.7817,286640
Belarus,81.46,6.0793,9438785
Belgium,65.77,7.2262,11427054
Belize,41.09,1.4657,383071
Benin,20.24,0.5529,11485035
Bolivia,71.39,1.7733,11353140
Bosnia and Herzegovina,36.03,6.5282,3323929
Botswana,24.44,2.7721,2254067
Brazil,99.83,2.1988,209469320
Bulgaria,58.31,5.3888,7025037
Burkina Faso,12,0.1899,19751466
Cambodia,12.34,0.9167,16249795
Cameroon,11.98,0.2595,25216261
Canada,82.62,14.1969,37065178
Central African Republic,35.9,0.0389,4666375
Chad,26.48,0.0555,15477727
Chile,83.16,4.2462,18729166
China,60.59,7.4117,1402760000
Colombia,55.9,1.7512,49661056
Congo,40.11,0.5648,5244363
Costa Rica,53.55,1.5523,4999443
Cote d'Ivoire,12.38,0.3818,25069226
Croatia,75.29,4.1366,4087843
Cuba,55.47,1.7792,11338146
Cyprus,72.82,5.3805,1189262
Czechia,82.78,8.215,10629928
Denmark,70.82,4.5224,5793636
Djibouti,15.04,0.3557,958923
Dominica,55.02,1.9343,71626
Dominican Republic,55.24,2.5599,10627147
Ecuador,45.22,1.7532,17084359
Egypt,26.29,2.0859,98423602
El Salvador,30.52,0.9441,6420740
Estonia,63.63,7.8795,1321977
Eswatini,27.6,0.8238,1136274
Ethiopia,5.4,0.1276,109224410
Fiji,43.85,1.5544,883490
Finland,76.69,7.0907,5515525
France,83.04,4.2381,67101930
French Polynesia,96.08,2.9486,277673
Gabon,59.2,1.9311,2119275
Gambia,7.82,0.2069,2280092
Georgia,31.83,2.4988,3726549
Germany,87.78,7.6901,82905782
Ghana,13.73,0.515,29767108
Greece,71.69,5.0115,10732882
Grenada,59.39,2.6203,111449
Guatemala,36.39,1.0571,16346950
Guinea,13.05,0.2584,12414292
Guinea-Bissau,17.29,0.1457,1874304
Guyana,45.22,2.8131,779007
Haiti,17.61,0.256,11123183
Honduras,33.09,0.9753,9587523
Hong Kong,137.07,4.1668,7451000
Hungary,79.72,4.9973,9775564
Iceland,91.01,8.6036,352721
India,3.78,1.7694,1352642283
Indonesia,11.7,2.1552,267670549
Iran,35.98,8.8702,81800204
Iraq,19.06,5.2416,38433604
Ireland,78.68,6.7538,4867316
Israel,97.01,6.5104,8882800
Italy,80.95,5.0249,60421760
Jamaica,58.96,2.509,2934853
Japan,49.33,8.1499,126529100
Jordan,37.91,2.498,9965322
Kazakhstan,64.88,15.5158,18276452
Kenya,15.94,0.3003,51392570
Kiribati,29.96,0.5699,115842
Kuwait,67.11,20.8251,4137314
Kyrgyzstan,30.46,1.7639,6322800
Laos,30.41,4.6521,7061498
Latvia,68.72,3.5907,1927174
Lebanon,23.97,3.8048,6859408
Lesotho,19.53,1.0192,2108327
Liberia,18.27,0.1995,4818976
Lithuania,81.27,5.0691,2801543
Luxembourg,80.07,13.059,607950
Macao,103.14,1.9447,631633
Madagascar,12.34,0.1329,26262313
Malawi,20.34,0.0729,18143215
Malaysia,52.89,8.4226,31528033
Maldives,20.61,3.3235,515704
Mali,23.68,0.1674,19077755
Malta,82.05,3.6121,484630
Mauritania,31.06,0.7263,4403312
Mauritius,50.89,3.129,1265303
Mexico,64.87,2.7686,126190782
Moldova,38.12,1.2759,2708214
Mongolia,88.37,26.978,3170214
Montenegro,73,3.6778,622227
Morocco,35.12,1.7484,36029089
Mozambique,9.39,0.2102,29496009
Myanmar,58.24,0.6676,53708318
Namibia,30.53,1.5259,2448300
Nepal,13.55,0.582,28095712
Netherlands,75.81,8.0596,17231624
New Caledonia,68.6,30.4482,270650
New Zealand,100.89,6.9418,4900600
Nicaragua,30.82,0.7659,6465502
Niger,12.75,0.0698,22442831
Nigeria,7.15,0.6086,195874685
North Macedonia,36.62,3.4302,2076217
Norway,67.46,7.615,5311916
Oman,43.34,12.1729,4829476
Pakistan,16.87,1.0628,212228288
Panama,65.01,2.4983,4176868
Paraguay,54.06,1.0613,6956069
Peru,24.41,1.3559,31989265
Philippines,37.04,1.2413,106651394
Poland,88.7,7.916,37974750
Portugal,94.06,3.9609,10283822
Romania,63.91,3.7154,19473970
Russia,76.61,10.8072,144477859
Rwanda,9.08,0.0797,12301969
Saint Kitts and Nevis,82.5,3.9863,52438
Saint Lucia,90.89,2.3956,181890
Saint Vincent and the Grenadines,91.04,1.8827,110210
Samoa,96.67,1.239,196128
Sao Tome and Principe,14.81,0.5144,211032
Saudi Arabia,54.12,17.9672,33702757
Senegal,14.13,0.6242,15854324
Serbia,53.48,4.9369,6982604
Sierra Leone,8.23,0.11,7650149
Slovakia,59.34,5.6286,5446771
Slovenia,76.39,6.043,2073894
Solomon Islands,11.74,0.435,652856
South Africa,60.02,7.6204,57792520
South Korea,70.7,11.6562,51606633
Spain,100.25,4.4683,46797754
Sri Lanka,9.04,0.9857,21670000
Sudan,21.39,0.4301,41801532
Suriname,42.4,3.7914,575987
Sweden,77.06,3.8255,10175214
Switzerland,67.53,3.7319,8514329
Tajikistan,16.47,0.9906,9100847
Tanzania,9.22,0.1831,56313444
Thailand,27.37,3.6929,69428454
Timor,31.51,0.3987,1267975
Togo,12.58,0.2647,7889095
Trinidad and Tobago,68.65,25.3731,1389841
Tunisia,28.36,2.3799,11565203
Turkey,38.87,4.6573,82340090
Turkmenistan,60.21,12.4914,5850902
Uganda,9.69,0.107,42729032
Ukraine,46.92,4.8912,44622518
United Arab Emirates,62.02,15.1933,9630966
United Kingdom,79.89,4.8549,66460344
United States,124.1,14.2379,326838199
Uruguay,57.69,1.6812,3449290
Uzbekistan,34.41,3.3698,32956100
Vanuatu,36.03,0.591,292675
Venezuela,40.94,2.9754,28887117
Vietnam,63.33,2.6126,95545959
Yemen,16.86,0.3275,28498683
Zambia,13.12,0.3575,17351714
Zimbabwe,17.67,0.7086,14438812
